year,date_,averageT,minT,averageP,SWE,Rhum,model_id,scenario_id,point_id,x,y
2098,1/31/98 0:00,9.64458402,1.726266543,119.9604187,42.62155151,48.78013333,ccsm3,a2,3,-119.5676,37.8217
2099,1/31/99 0:00,9.84053421,1.634250005,47.38124593,48.13523865,47.0022,ccsm3,a2,3,-119.5676,37.8217
1950,1/31/50 0:00,3.780491829,-3.517875036,92.61667887,163.0322469,48.76393333,ccsm3,b1,3,-119.5676,37.8217
1951,1/31/51 0:00,4.410858472,-2.955491702,108.5562541,286.8348389,51.1937,ccsm3,b1,3,-119.5676,37.8217
1952,1/31/52 0:00,4.433499972,-3.538241386,97.7250061,200.314209,52.74910833,ccsm3,b1,3,-119.5676,37.8217
1953,1/31/53 0:00,4.412658056,-3.12147522,70.6479187,194.983195,43.77049167,ccsm3,b1,3,-119.5676,37.8217
1954,1/31/54 0:00,4.383666674,-3.385475159,98.1187439,228.1527303,45.897275,ccsm3,b1,3,-119.5676,37.8217
1955,1/31/55 0:00,4.458691597,-3.221783638,123.8687541,365.8545329,56.57139167,ccsm3,b1,3,-119.5676,37.8217
1956,1/31/56 0:00,4.801691691,-2.759966532,122.4291585,220.7121989,51.38165,ccsm3,b1,3,-119.5676,37.8217
1957,1/31/57 0:00,3.907333056,-3.853941282,74.04791768,326.4147135,51.26620833,ccsm3,b1,3,-119.5676,37.8217
1958,1/31/58 0:00,3.795558612,-3.87683328,80.45208232,55.44866943,46.979775,ccsm3,b1,3,-119.5676,37.8217
1959,1/31/59 0:00,3.199583054,-5.030374845,71.28333028,286.616394,49.560125,ccsm3,b1,3,-119.5676,37.8217
1960,1/31/60 0:00,4.768907865,-2.875333468,86.26665243,154.9717204,50.761625,ccsm3,b1,3,-119.5676,37.8217
1961,1/31/61 0:00,5.798900604,-1.720458349,165.6000061,202.7879639,48.70576667,ccsm3,b1,3,-119.5676,37.8217
1962,1/31/62 0:00,4.625583331,-3.25638326,103.5479126,722.5169271,46.89283333,ccsm3,b1,3,-119.5676,37.8217
1963,1/31/63 0:00,4.72943306,-2.621308327,94.8916626,159.5833435,47.83616667,ccsm3,b1,3,-119.5676,37.8217
1964,1/31/64 0:00,4.599158287,-3.191233317,80.33958435,150.5860596,50.8104,ccsm3,b1,3,-119.5676,37.8217
1965,1/31/65 0:00,3.927383741,-4.233516693,78.98541768,94.51291911,47.23214167,ccsm3,b1,3,-119.5676,37.8217
1966,1/31/66 0:00,3.910525004,-4.749741236,116.9104106,209.4829508,48.09384167,ccsm3,b1,3,-119.5676,37.8217
1967,1/31/67 0:00,4.378833135,-3.710817337,112.5687459,232.8544515,47.54810833,ccsm3,b1,3,-119.5676,37.8217
1968,1/31/68 0:00,4.165932973,-3.254866918,123.1166484,595.2793783,51.9638,ccsm3,b1,3,-119.5676,37.8217
1969,1/31/69 0:00,4.480624517,-3.486241659,87.26041667,243.1911011,51.04421667,ccsm3,b1,3,-119.5676,37.8217
1970,1/31/70 0:00,5.032424927,-2.755216599,32.80833435,50.56161499,40.20350833,ccsm3,b1,3,-119.5676,37.8217
1971,1/31/71 0:00,4.792083104,-2.963791847,127.6895854,194.9996338,49.74130833,ccsm3,b1,3,-119.5676,37.8217
1972,1/31/72 0:00,4.560833295,-3.268258413,76.31666565,218.870341,48.07591667,ccsm3,b1,3,-119.5676,37.8217
1973,1/31/73 0:00,4.759591738,-3.240733147,51.14374797,68.31879679,44.81468333,ccsm3,b1,3,-119.5676,37.8217
1974,1/31/74 0:00,4.496041934,-3.445758184,94.8500061,241.1304118,45.06625,ccsm3,b1,3,-119.5676,37.8217
1975,1/31/75 0:00,4.632474899,-3.24729983,119.1500142,188.9265951,42.857225,ccsm3,b1,3,-119.5676,37.8217
1976,1/31/76 0:00,4.016758283,-4.668191592,138.4333394,580.1474202,44.83049167,ccsm3,b1,3,-119.5676,37.8217
1977,1/31/77 0:00,4.569974899,-3.877658208,65.67500305,101.1317342,44.6086,ccsm3,b1,3,-119.5676,37.8217
1978,1/31/78 0:00,5.102849642,-2.254116694,143.6958211,181.6610311,51.26356667,ccsm3,b1,3,-119.5676,37.8217
1979,1/31/79 0:00,4.499058723,-3.359108607,113.1208496,373.8894857,51.63660833,ccsm3,b1,3,-119.5676,37.8217
1980,1/31/80 0:00,4.615525564,-2.921157837,83.66666667,187.5581055,50.39574167,ccsm3,b1,3,-119.5676,37.8217
1981,1/31/81 0:00,5.550632477,-2.493308385,66.04375203,153.2348022,46.84143333,ccsm3,b1,3,-119.5676,37.8217
1982,1/31/82 0:00,4.39667511,-3.598999977,119.9729207,184.479716,46.56664167,ccsm3,b1,3,-119.5676,37.8217
