GUID,SCIENTIFIC_NAME,OTHERCATALOGNUMBERS,COORDINATEUNCERTAINTYINMETERS,COUNTRY,STATE_PROV,ELEVATION,SPEC_LOCALITY,VERBATIM_DATE,PARTS,DEC_LAT,DEC_LONG,SEX,ERA
MVZ:Mamm:22740,Tamias speciosus frater,collector number=469,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",1-Jul-15,skull; DNA; study skin,37.80526,-119.55632,male,H
MVZ:Mamm:22708,Tamias speciosus frater,collector number=3257,484,United States,California,2133.6,"ridge near Yosemite Point, Yosemite National Park",4-Jun-15,skull; study skin,37.757737,-119.591648,female,H
MVZ:Mamm:22710,Tamias speciosus frater,collector number=3316,484,United States,California,2072.64,"near Chinquapin, Yosemite National Park",13-Jun-15,skull; DNA; study skin,37.66156,-119.68258,male,H
MVZ:Mamm:22729,Tamias speciosus frater,collector number=3407,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",27-Jun-15,skull; study skin,37.80526,-119.55632,female,H
MVZ:Mamm:22730,Tamias speciosus frater,collector number=3405,1609,United States,California,2560.32,"Tioga Rd. near Mt. Hoffman, Yosemite National Park",28-Jun-15,skull; study skin; DNA,37.814605,-119.499805,male,H
MVZ:Mamm:22747,Tamias speciosus frater,collector number=2143,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",6-Jul-15,skull; study skin; DNA; skeleton,37.87941,-119.39498,male,H
MVZ:Mamm:22748,Tamias speciosus frater,collector number=2160,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",6-Jul-15,skull; study skin; DNA (frozen); skeleton,37.87941,-119.39498,male,H
MVZ:Mamm:22765,Tamias speciosus frater,collector number=1401,162,United States,California,2956.56,"head of Lyell Canyon, Yosemite National Park",18-Jul-15,skull; DNA; study skin,37.7769743,-119.2608776,female,H
MVZ:Mamm:23408,Tamias speciosus frater,collector number=7665,30,United States,California,1950.72,"Tuolumne River, Yosemite National Park",1-Oct-15,skull; study skin,37.928858,-119.461163,female,H
MVZ:Mamm:22745,Tamias speciosus frater,collector number=479,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",4-Jul-15,skull; study skin; study skin sample,37.80526,-119.55632,female,H
MVZ:Mamm:22724,Tamias speciosus frater,collector number=1289,645,United States,California,2194.56,"E Fork Indian Canyon, Yosemite National Park",22-Jun-15,skull; study skin; skeleton; study skin sample,37.77432,-119.56902,female,H
MVZ:Mamm:23428,Tamias speciosus frater,collector number=3744,484,United States,California,2026.92,"on Yosemite Trail near Yosemite Falls, Yosemite National Park",30-Oct-15,skull; study skin,37.75854,-119.59886,female,H
MVZ:Mamm:99849,Tamias speciosus frater,collector number=485,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",7-Aug-40,whole organism (ethanol),37.87941,-119.39498,female,H
MVZ:Mamm:22751,Tamias speciosus frater,collector number=2161,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",7-Jul-15,skull; study skin; DNA; skeleton,37.87941,-119.39498,male,H
MSB:Mamm:101309,Tamias speciosus frater,USGS: U.S. Geological Survey=BS/FC 1309; preparator number=610718-2,,United States,California,,"Yosemite Natl. Park, Tolumne Riv, Dana Fork",18-Jul-61,skull,,,female,H
MVZ:Mamm:22717,Tamias speciosus frater,collector number=2051,484,United States,California,2194.56,"head of Grouse Creek near Chinquapin, Yosemite National Park",21-Jun-15,skull; study skin; skeleton; study skin sample,37.66992,-119.65994,male,H
MVZ:Mamm:23427,Tamias speciosus frater,collector number=7780,570,United States,California,1767.84,"Gentry's, Big Oak Flat Rd., Yosemite National Park",23-Oct-15,skull; study skin,37.7352363,-119.7034868,female,H
MVZ:Mamm:22736,Tamias speciosus frater,,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",29-Jun-15,skull; study skin; DNA,37.80526,-119.55632,male,H
MVZ:Mamm:22719,Tamias speciosus frater,collector number=2055,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",22-Jun-15,skull; study skin; DNA; skeleton,37.66855,-119.58804,female,H
MVZ:Mamm:22720,Tamias speciosus frater,collector number=2056,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",22-Jun-15,skull; study skin; DNA; skeleton,37.66855,-119.58804,male,H
MVZ:Mamm:22721,Tamias speciosus frater,collector number=2057,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",22-Jun-15,skull; study skin; DNA; skeleton,37.66855,-119.58804,male,H
MVZ:Mamm:22728,Tamias speciosus frater,collector number=3394,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",27-Jun-15,skull; study skin,37.80526,-119.55632,female,H
MVZ:Mamm:99851,Tamias speciosus frater,collector number=487,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",7-Aug-40,whole organism (ethanol),37.87941,-119.39498,female,H
MVZ:Mamm:22743,Tamias speciosus frater,collector number=1327,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",2-Jul-15,skull; study skin; study skin sample,37.80526,-119.55632,male,H
MVZ:Mamm:22760,Tamias speciosus frater,collector number=517,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",13-Jul-15,skull; study skin; DNA; skeleton,37.87941,-119.39498,male,H
MVZ:Mamm:22763,Tamias speciosus frater,collector number=512,162,United States,California,2956.56,"head of Lyell Canyon, Yosemite National Park",16-Jul-15,skull; study skin; DNA; skeleton,37.7769743,-119.2608776,male,H
MVZ:Mamm:22739,Tamias speciosus frater,collector number=2123,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",1-Jul-15,skull; study skin; DNA; skeleton,37.80526,-119.55632,female,H
