cat.num,species,elev.m,sex,era,specific.locality,latitude,longitude,pc1,face.proj,neuro.proj
201531,Tamias speciosus,2412.1872,F,M,Glen Aulin,37.91355,-119.42225,53.03221598,41.67731472,30.71123663
201532,Tamias speciosus,2412.1872,F,M,Glen Aulin,37.91355,-119.42225,52.39569162,40.4710156,30.91747587
201533,Tamias speciosus,2412.1872,M,M,Glen Aulin,37.91355,-119.42225,51.28626369,39.65653165,30.25027163
201548,Tamias speciosus,2491.74,M,M,Glen Aulin,37.91586,-119.41385,52.60395119,41.44458797,30.24292619
201549,Tamias speciosus,2491.74,M,M,Glen Aulin,37.91586,-119.41385,52.80021666,41.47202638,30.47592379
201551,Tamias speciosus,2401.824,F,M,Glen Aulin,37.9136,-119.42421,53.00427655,40.89066332,31.57539806
201553,Tamias speciosus,2491.74,F,M,Glen Aulin,37.91586,-119.41385,52.94108928,41.88106025,30.31723762
201556,Tamias speciosus,2392.68,F,M,Glen Aulin,37.91042,-119.41607,48.58259593,37.6873398,28.54941194
201557,Tamias speciosus,2392.68,F,M,Glen Aulin,37.91042,-119.41607,50.94245138,40.06316937,29.3342118
201558,Tamias speciosus,2392.68,F,M,Glen Aulin,37.91042,-119.41607,51.82467553,40.21816141,30.34520859
201560,Tamias speciosus,2496.312,F,M,McGee Lake,37.9007,-119.43205,53.31071977,41.10822915,31.73603657
201561,Tamias speciosus,2496.312,F,M,McGee Lake,37.9007,-119.43205,51.78123426,39.99345778,30.65127531
201565,Tamias speciosus,3148.584,F,M,Tioga Pass,37.90811,-119.26396,53.28550945,41.61856297,31.09959571
207224,Tamias speciosus,2012.8992,F,M,Tamarack Flat,37.75456,-119.74298,52.1433361,40.95086476,30.2396853
207237,Tamias speciosus,2587.4472,M,M,Porcupine Flat,37.81435,-119.57728,52.51262165,41.09871385,30.69370213
207238,Tamias speciosus,2484.12,M,M,Porcupine Flat,37.80759,-119.56455,51.66913589,40.36952038,30.07244061
207240,Tamias speciosus,2587.4472,M,M,Porcupine Flat,37.81435,-119.57728,51.30943367,39.6313687,30.38851683
207241,Tamias speciosus,2587.4472,F,M,Porcupine Flat,37.81435,-119.57728,53.51628199,42.51177332,30.35679796
207242,Tamias speciosus,2572.2072,F,M,Porcupine Flat,37.81435,-119.57728,51.86817443,39.82522816,30.79498853
207244,Tamias speciosus,2397.252,F,M,Old Tioga Mine Rd. (?),37.84469,-119.61269,52.37688519,40.57392533,30.74892201
207245,Tamias speciosus,2570.6832,M,M,Old Tioga Mine Rd. (?),37.84631,-119.63327,52.03709557,40.31573128,30.76429126
207246,Tamias speciosus,2570.6832,M,M,Old Tioga Mine Rd. (?),37.84631,-119.63327,51.13065818,39.7252663,30.06011083
207247,Tamias speciosus,2570.6832,F,M,Old Tioga Mine Rd. (?),37.84631,-119.63327,52.31882473,40.81278894,30.30223456
207248,Tamias speciosus,2570.6832,F,M,Old Tioga Mine Rd. (?),37.84631,-119.63327,53.16993118,41.69039561,30.84958119
207254,Tamias speciosus,2300,F,M,unknown,37.8497,-119.57801,51.63937456,40.44627108,29.77175839
207258,Tamias speciosus,2164.08,F,M,unknown,37.77441,-119.56924,52.67760495,41.7322801,30.20007973
207259,Tamias speciosus,2379.8784,F,M,Porcupine Flat,37.79383,-119.55255,53.40476361,42.05957399,30.78099207
207260,Tamias speciosus,3160.4712,F,M,Vogelsang,37.79778,-119.33617,52.57125602,41.47853281,30.32073834
207261,Tamias speciosus,3160.4712,F,M,Vogelsang,37.79778,-119.33617,51.78828388,40.26147232,30.44745162
207264,Tamias speciosus,2266.188,F,M,Merced Lake,37.74036,-119.39641,53.808779,42.165228,31.16695369
207265,Tamias speciosus,2266.188,M,M,Merced Lake,37.74036,-119.39641,49.81772854,38.29957513,29.59563098
207266,Tamias speciosus,2266.188,M,M,Merced Lake,37.74036,-119.39641,50.89822106,39.3490105,29.98596996
207268,Tamias speciosus,2266.188,M,M,Merced Lake,37.74036,-119.39641,52.43156915,40.64553214,30.8897121
207269,Tamias speciosus,2266.188,M,M,Merced Lake,37.74036,-119.39641,51.78787042,40.80214648,29.69391478
207271,Tamias speciosus,2266.188,F,M,Merced Lake,37.74036,-119.39641,52.36386472,40.88308235,30.53901084
207272,Tamias speciosus,2238.756,F,M,Merced Lake,37.73393,-119.39339,48.94566292,37.11758469,29.77159343
207273,Tamias speciosus,2204.9232,F,M,McGee Lake,37.7409,-119.40804,53.64642895,41.04205262,32.18676856
207274,Tamias speciosus,2204.9232,M,M,McGee Lake,37.7409,-119.40804,51.44552603,40.49559448,29.57219904
207275,Tamias speciosus,2204.9232,F,M,McGee Lake,37.7409,-119.40804,52.60292122,40.07410063,31.68654187
207276,Tamias speciosus,2204.9232,M,M,McGee Lake,37.7409,-119.40804,50.42654011,38.93226012,29.76961119
207277,Tamias speciosus,2199.4368,M,M,McGee Lake,37.74069,-119.41023,53.70002774,41.53206784,31.67274111
207279,Tamias speciosus,2204.9232,M,M,McGee Lake,37.7409,-119.40804,50.58017307,38.80110421,30.22583897
207280,Tamias speciosus,2199.4368,F,M,McGee Lake,37.74051,-119.41345,51.32280671,39.29256292,30.81950037
207281,Tamias speciosus,2199.4368,F,M,McGee Lake,37.74051,-119.41345,54.02911296,42.09790779,31.5129508
207283,Tamias speciosus,2199.4368,F,M,McGee Lake,37.74069,-119.41025,51.60222739,39.64879518,30.72050499
207284,Tamias speciosus,2260.7016,M,M,unknown,37.72604,-119.39541,51.83085307,40.53228672,30.05523125
207285,Tamias speciosus,2012.8992,F,M,Tamarack Flat,37.75456,-119.74298,50.44516373,39.83838251,28.89626351
208335,Tamias speciosus,2789.8344,F,M,Warren Fork,37.95386,-119.2285,51.76047535,40.03628374,30.71332689
216019,Tamias speciosus,2245,F,M,Pine Marten Campground (?),38.480851,-119.988687,52.57783838,41.24183092,30.42496961
216020,Tamias speciosus,2245,F,M,Pine Marten Campground (?),38.480851,-119.988687,51.00950655,39.68712794,29.93868417
216021,Tamias speciosus,2245,F,M,Pine Marten Campground (?),38.480851,-119.988687,51.30148163,40.42221294,29.37055175
216324,Tamias speciosus,1898,M,M,Crane Flat,37.75817,-119.80033,52.42664995,41.27947153,30.26914992
216325,Tamias speciosus,1898,F,M,Crane Flat,37.75817,-119.80033,49.63376028,38.91229099,28.7422173
216326,Tamias speciosus,1923.5928,F,M,Crane Flat,37.75139,-119.79149,50.9438626,39.3022109,30.25750373
216327,Tamias speciosus,2878.5312,F,M,Dorothy Lake,38.17609,-119.59468,50.87489525,40.24871881,29.0457919
216328,Tamias speciosus,2878.5312,F,M,Dorothy Lake,38.17609,-119.59468,53.64949139,41.82863274,31.41227353
216330,Tamias speciosus,2863.596,F,M,Dorothy Lake,38.17061,-119.5946,53.34302848,42.00477972,30.70745994
216333,Tamias speciosus,3014.472,M,M,unknown,37.95217,-119.26138,52.43084451,41.06650457,30.4977146
216334,Tamias speciosus,2691.384,F,M,Juniper Ridge,37.88325,-119.3605,51.0299177,39.75045538,30.01079399
216335,Tamias speciosus,2691.384,M,M,Juniper Ridge,37.88325,-119.3605,52.02660224,40.29505071,30.73881975
216336,Tamias speciosus,2691.384,F,M,Juniper Ridge,37.88325,-119.3605,52.49522334,41.33895507,30.2814148
216337,Tamias speciosus,2691.384,M,M,Juniper Ridge,37.88325,-119.3605,52.25530712,41.1329099,30.07991883
216339,Tamias speciosus,2691.384,F,M,Juniper Ridge,37.88325,-119.3605,52.28964667,41.05730292,30.20992223
216340,Tamias speciosus,2691.384,F,M,Juniper Ridge,37.88325,-119.3605,52.66091793,41.10349423,30.7275023
216342,Tamias speciosus,2691.384,F,M,Juniper Ridge,37.88325,-119.3605,50.59837338,39.38020276,29.48653587
216343,Tamias speciosus,2691.384,F,M,Juniper Ridge,37.88325,-119.3605,52.02827891,40.41059382,30.54145255
216344,Tamias speciosus,2691.384,M,M,Juniper Ridge,37.88325,-119.3605,53.2000942,40.99159669,31.52957538
216347,Tamias speciosus,3093.72,M,M,Saddlebag Lake,37.96321,-119.27189,50.92851875,39.91898681,29.36667034
216348,Tamias speciosus,3093.72,M,M,Saddlebag Lake,37.96321,-119.27189,52.51063164,40.4694767,31.15250882
216349,Tamias speciosus,3121.152,F,M,Lyell Canyon,37.76807,-119.25506,52.94489432,41.70178064,30.51449099
216350,Tamias speciosus,3121.152,F,M,Lyell Canyon,37.76807,-119.25506,52.60281488,41.00862071,30.82961395
216351,Tamias speciosus,3013.8624,M,M,Return Creek,38.06129,-119.33899,51.97258898,41.2048316,29.67053759
216352,Tamias speciosus,3013.8624,M,M,Return Creek,38.06129,-119.33899,50.30344224,39.05457417,29.724137
216353,Tamias speciosus,2440,F,M,Walker Lake,37.87123,-119.1706,52.256131,40.77952939,30.50062001
216358,Tamias speciosus,2465,M,M,Walker Lake (?),37.87078,-119.16125,54.30899912,42.66263549,31.26325882
216361,Tamias speciosus,2465,M,M,Walker Lake (?),37.87078,-119.16125,53.45278891,41.53649892,31.45203483
216362,Tamias speciosus,2465,F,M,Walker Lake (?),37.87078,-119.16125,51.94783336,40.62561619,30.19474786
216363,Tamias speciosus,2465,M,M,Walker Lake (?),37.87078,-119.16125,51.58994854,40.96350079,29.22578164
216365,Tamias speciosus,2465,F,M,Walker Lake (?),37.87078,-119.16125,53.48977277,41.84217266,31.19771366
216366,Tamias speciosus,2465,M,M,Walker Lake (?),37.87078,-119.16125,54.2974697,42.24303615,31.71047182
216367,Tamias speciosus,2465,F,M,Walker Lake (?),37.87078,-119.16125,52.85863114,41.7649653,30.31605787
216373,Tamias speciosus,2465,F,M,Walker Lake (?),37.87078,-119.16125,53.69447157,41.74093569,31.43797771
216374,Tamias speciosus,2555.748,F,M,unknown,37.87649,-119.41609,52.27424064,40.35767789,30.99559384
217191,Tamias speciosus,2827.6296,M,M,Tuolumne Meadows (?),37.88357,-119.346,52.12790978,40.6549979,30.46089897
217192,Tamias speciosus,2865.12,F,M,unknown,38.12206,-119.48155,52.15533546,41.0994347,30.12213177
217193,Tamias speciosus,2865.12,F,M,unknown,38.12206,-119.48155,50.37812144,39.51608839,29.14337054
217196,Tamias speciosus,2941.32,F,M,Buckeye Pass (?),38.13027,-119.47916,52.34607833,40.86840686,30.50222718
217197,Tamias speciosus,2941.32,M,M,Buckeye Pass (?),38.13027,-119.47916,54.21013624,42.60556057,31.38175961
217198,Tamias speciosus,2941.32,F,M,Buckeye Pass (?),38.13027,-119.47916,52.33278492,41.4459256,29.63438765
220025,Tamias speciosus,2984.6016,F,M,Cathedral Lakes,37.84117,-119.41206,52.00029327,40.64592441,30.44407494
